stock_code,name,base_price,shop,online,base_price,reorder,qty
BK,Baking Sheet Blue, -   ,350,525, 255.75 ,90,100
BTY,Humidifier Pumpkim, -   ,2000,3000," 1,389.86 ",90,100
BTY,Sokany Facial steamer black, -   ,2500,3750," 1,824.52 ",90,100
BTY,Sokany Facial Steamer Pink, -   ,2000,3000," 1,574.52 ",90,100
BTY,Sokany Hot Air Styler, -   ,2000,3000," 1,445.10 ",90,100
BTY,Sokany Beauty styler Flat iron, -   ,2500,3750," 1,857.27 ",90,100
BTY,Aromatherapy humidifier 210ml, -   ,1500,2250," 1,068.34 ",90,100
BTY,Ultrasonic humidifier 130ml, -   ,700,1050, 540.79 ,90,100
BTY,Sweet Saver, -   ,600,900, 379.67 ,90,100
BTY,5 in 1 Face Massanger, -   ,400,600, 287.67 ,90,100
BTY,Pink Hairstraightener, -   ,1000,1500, 738.48 ,90,100
CP,Ceramic cup n saucer purple box set, -   ,1200,1800, 954.66 ,90,100
CP,Cappuchina brown box, -   ,166.6,249.9, 132.03 ,90,100
CP,Cup n saucer with gold ring round pack, -   ,2000,3000," 1,596.23 ",90,100
CP,Dull colour cup, -   ,150,225, 120.52 ,90,100
CP,Message  mugs, -   ,200,300, 150.13 ,90,100
CP,White cup with silver ring, -   ,150,225, 121.97 ,90,100
CP,Ceramic long cup, -   ,166.6,249.9, 132.32 ,90,100
CP,Pot cup new, -   ,166.6,249.9, 134.71 ,90,100
CP,Cup n Scaucer super big, -   ,266.6,399.9, 216.27 ,90,100
CP,Subaishi Tea set green, -   ,5000,7500," 4,081.92 ",90,100
CP,Subaishi Tea set Red, -   ,5000,7500," 4,081.92 ",90,100
CP,Subaishi Tea set Pink, -   ,5000,7500," 4,081.92 ",90,100
CP,Subaishi Tea set Grey, -   ,5000,7500," 4,081.92 ",90,100
CTLY,My wish Gold flowered Long tea spoon 4pcs, -   ,450,675, 320.94 ,90,100
FP,Usami Egg organizer like drawer 32egg, -   ,1200,1800, 933.35 ,90,100
FP,Cereal Container 2.5Litres, -   ,250,375, 204.42 ,90,100
FP,Organising square buckets 40L, -   ,2000,3000," 1,481.06 ",90,100
